PRN,Timestamp,X_km,Y_km,Z_km
PG23,2026-04-01 02:00:0.00000000,-178.853015,-14707.731427,22179.117648
PG24,2026-04-01 02:00:0.00000000,14644.288122,-18368.212249,11496.35379
PG25,2026-04-01 02:00:0.00000000,7902.898057,-15724.412775,-20210.984009
PG26,2026-04-01 02:00:0.00000000,-22239.169949,-5864.329871,-13862.262274
PG27,2026-04-01 02:00:0.00000000,-19866.011104,-7422.468713,15888.882316
PG28,2026-04-01 02:00:0.00000000,-9658.899168,-13979.12903,-20404.582201
PG29,2026-04-01 02:00:0.00000000,489.24785,-20817.121044,-16441.902397
PG30,2026-04-01 02:00:0.00000000,4944.016111,19987.041798,16837.706093
PG31,2026-04-01 02:00:0.00000000,-15176.847861,-3884.61297,-21753.961663
PG32,2026-04-01 02:00:0.00000000,-16182.905443,-21178.899348,-345.102998
PG01,2026-04-01 02:15:0.00000000,-15224.574935,20188.609575,7985.659195
PG02,2026-04-01 02:15:0.00000000,-16028.962771,11049.661243,18188.773697
PG03,2026-04-01 02:15:0.00000000,-19468.189948,12081.900598,-13527.97347
PG04,2026-04-01 02:15:0.00000000,-8696.458535,12813.952184,-21525.276023
PG05,2026-04-01 02:15:0.00000000,26110.868412,-4782.361314,-1585.130228
PG06,2026-04-01 02:15:0.00000000,7692.556224,15978.42777,-19656.904309
PG07,2026-04-01 02:15:0.00000000,-4735.226695,25380.352369,5856.842263
PG08,2026-04-01 02:15:0.00000000,-17617.857088,2057.640555,19712.266822
PG09,2026-04-01 02:15:0.00000000,1295.195209,19867.703727,-17639.408881
PG10,2026-04-01 02:15:0.00000000,-12222.935194,-11726.381475,20816.73006
PG11,2026-04-01 02:15:0.00000000,15393.30482,1862.925792,-21503.30556
PG12,2026-04-01 02:15:0.00000000,22080.194467,-10130.525967,-11028.074959
PG13,2026-04-01 02:15:0.00000000,18366.420616,7011.79048,17713.377395
PG14,2026-04-01 02:15:0.00000000,9113.18757,13874.231661,20876.37519
PG15,2026-04-01 02:15:0.00000000,16555.152764,-4753.427154,19688.196639
PG16,2026-04-01 02:15:0.00000000,-26162.623785,-1794.623561,-5870.040408
PG17,2026-04-01 02:15:0.00000000,11883.185284,22906.828973,6018.695409
PG18,2026-04-01 02:15:0.00000000,4229.716088,-25020.398589,7405.74459
PG19,2026-04-01 02:15:0.00000000,17229.446294,20209.822147,-4021.443726
PG20,2026-04-01 02:15:0.00000000,19506.445403,3371.629231,17757.473997
PG21,2026-04-01 02:15:0.00000000,24716.93329,2723.659222,-9384.019998
PG22,2026-04-01 02:15:0.00000000,14406.700424,12120.988479,18934.492915
PG23,2026-04-01 02:15:0.00000000,2287.778273,-15079.58906,21784.14466
PG24,2026-04-01 02:15:0.00000000,14521.332864,-16802.936816,13756.925997
PG25,2026-04-01 02:15:0.00000000,10072.940457,-15959.603114,-18979.079065
PG26,2026-04-01 02:15:0.00000000,-20683.423986,-6474.72075,-15852.301729
PG27,2026-04-01 02:15:0.00000000,-20823.838552,-8895.117526,13860.282648
PG28,2026-04-01 02:15:0.00000000,-8773.669471,-16070.663503,-19229.241347
PG29,2026-04-01 02:15:0.00000000,1729.1129,-19266.985368,-18175.106961
PG30,2026-04-01 02:15:0.00000000,4080.155869,21584.237671,14946.793121
PG31,2026-04-01 02:15:0.00000000,-14217.554683,-6123.664903,-21861.036067
PG32,2026-04-01 02:15:0.00000000,-15952.396597,-21244.50284,2510.286526
PG01,2026-04-01 02:30:0.00000000,-15046.231684,19110.441499,10565.48055
PG02,2026-04-01 02:30:0.00000000,-15694.959671,8960.69808,19653.033748
PG03,2026-04-01 02:30:0.00000000,-20848.298225,12214.390201,-11088.453717
PG04,2026-04-01 02:30:0.00000000,-10314.787684,10923.786127,-21864.927176
PG05,2026-04-01 02:30:0.00000000,25844.75873,-4513.808324,-4450.025183
PG06,2026-04-01 02:30:0.00000000,6869.607779,17993.756612,-18154.436967
PG07,2026-04-01 02:30:0.00000000,-5160.837309,25713.242318,3058.052425
PG08,2026-04-01 02:30:0.00000000,-19091.011506,402.015466,18458.397165
PG09,2026-04-01 02:30:0.00000000,-239.866556,18442.487383,-19180.809469
PG10,2026-04-01 02:30:0.00000000,-9911.707201,-12219.369576,21724.748559
PG11,2026-04-01 02:30:0.00000000,14544.14905,4200.480486,-21769.01385
PG12,2026-04-01 02:30:0.00000000,23180.026679,-10056.223839,-8476.642744
PG13,2026-04-01 02:30:0.00000000,19337.32805,8715.412657,15879.149458
PG14,2026-04-01 02:30:0.00000000,6764.64194,14381.09781,21394.70964
PG15,2026-04-01 02:30:0.00000000,18270.734118,-3224.113972,18481.274038
PG16,2026-04-01 02:30:0.00000000,-25425.314696,-2096.332913,-8538.293087
PG17,2026-04-01 02:30:0.00000000,11175.971858,22441.15133,8715.807804
PG18,2026-04-01 02:30:0.00000000,4677.691615,-25591.658097,4624.104437
PG19,2026-04-01 02:30:0.00000000,17221.014192,20572.822149,-1223.648588
PG20,2026-04-01 02:30:0.00000000,20700.591979,4882.334109,15952.735021
PG21,2026-04-01 02:30:0.00000000,23562.809393,3162.001564,-11878.356403
PG22,2026-04-01 02:30:0.00000000,12250.137823,12504.358922,20211.057637
