ID,Name,Type,TLE Line 1,TLE Line 2,Epoch
37437,FENGYUN 1C DEB,Debris,1 37437U 99025EHF 26244.22860135  .00000658  00000+0  31325-3 0  9999,2 37437  98.6043 233.3140 0112051  11.3872  53.5800 14.19371625677149,2026-09-01 05:29:11 UTC
30330,FENGYUN 1C DEB,Debris,1 30330U 99025AAR 26248.40170573  .00000734  00000+0  62328-3 0  9990,2 30330  98.9030 231.1035 0184934 186.0370 332.5693 13.82882092983429,2026-09-05 09:38:27 UTC
36238,FENGYUN 1C DEB,Debris,1 36238U 99025DVP 26246.70873973  .00000050  00000+0  49948-4 0  9993,2 36238  98.6802 215.4662 0020063 245.2162 114.6924 14.12459601907585,2026-09-03 17:00:35 UTC
30017,FENGYUN 1C DEB,Debris,1 30017U 99025MS  26248.13870402  .00000460  00000+0  75464-4 0  9992,2 30017  98.7189 312.7931 0216854  74.4706 288.0321 14.61724433 43359,2026-09-05 03:19:44 UTC
46447,FENGYUN 1C DEB,Debris,1 46447U 99025EZC 26246.24506045  .00000812  00000+0  27406-3 0  9998,2 46447  98.4712 239.4903 0162486   0.9694 359.1774 14.32470528830084,2026-09-03 05:52:53 UTC
30056,FENGYUN 1C DEB,Debris,1 30056U 99025PH  26248.39593913  .00001583  00000+0  12291-2 0  9996,2 30056  98.3462  45.6803 0296607 209.2836 149.1408 13.75117349976396,2026-09-05 09:30:09 UTC
30062,FENGYUN 1C DEB,Debris,1 30062U 99025PP  26249.00012968  .00000221  00000+0  15505-3 0  9998,2 30062  98.7795 255.5871 0049111  16.5730   3.3015 14.07426866  6641,2026-09-06 00:00:11 UTC
38496,FENGYUN 1C DEB,Debris,1 38496U 99025ESF 26244.24653094  .00000822  00000+0  47242-3 0  9999,2 38496  98.7619 252.3429 0074067 344.9144  14.9818 14.10688555847218,2026-09-01 05:55:00 UTC
31877,FENGYUN 1C DEB,Debris,1 31877U 99025CKC 26248.78063749  .00009814  00000+0  57559-3 0  9992,2 31877  99.0005   7.9771 0092279 124.4679 236.5306 15.08441946 30587,2026-09-05 18:44:07 UTC
36540,COSMOS 2251 DEB,Debris,1 36540U 93036BDA 26248.79402493  .00002039  00000+0  42233-3 0  9999,2 36540  74.0281  30.7725 0014621  34.8775 325.3346 14.60865253899073,2026-09-05 19:03:23 UTC
30169,FENGYUN 1C DEB,Debris,1 30169U 99025UA  26248.97458338  .00007917  00000+0  11351-2 0  9999,2 30169  98.3145 325.4036 0195886 114.1694  57.2662 14.64467959 16210,2026-09-05 23:23:24 UTC
37069,FENGYUN 1C DEB,Debris,1 37069U 99025EFD 26247.90828258  .00000701  00000+0  80563-3 0  9995,2 37069  95.8445 111.2737 0419822 259.0653  96.2995 13.39054870912697,2026-09-04 21:47:55 UTC
30435,FENGYUN 1C DEB,Debris,1 30435U 99025AEW 26248.64004953  .00001738  00000+0  14330-2 0  9994,2 30435  99.0277 228.0074 0207549 118.3411 303.9879 13.80893688978423,2026-09-05 15:21:40 UTC
30879,FENGYUN 1C DEB,Debris,1 30879U 99025AXR 26248.18893911  .00007915  00000+0  83034-3 0  9996,2 30879  99.3296 150.6401 0164313 176.3718 183.8724 14.80376716658662,2026-09-05 04:32:04 UTC
